state_id,district id,district name,state_name
1,1,Anantapur,Andhra Pradesh
1,2,Chittoor,Andhra Pradesh
1,3,Guntur,Andhra Pradesh
1,4,Krishna,Andhra Pradesh
1,5,Kurnool,Andhra Pradesh
